Date,Time,Y,Open,High,Close,Low,Volume
2009.08.18,5:00,938.18,938.48,939.38,937.75,938,1382
2009.08.18,6:00,937.56,938.03,938.45,937.6,937.9,975
2009.08.18,7:00,936.69,937.93,938.13,935.65,936.98,1640
2009.08.18,8:00,936.61,936.9,937.88,934.83,935.5,4083
2009.08.18,9:00,937.49,935.48,937.78,934.15,935.43,3851
2009.08.18,10:00,938.94,935.4,938.28,934.98,936.7,3777
2009.08.18,11:00,938.48,936.75,939.38,935.9,938.5,3135
2009.08.18,12:00,938.28,938.53,939.25,937.48,937.7,2128
2009.08.18,13:00,938.56,937.68,938.88,936.05,937.68,2543
2009.08.18,14:00,938,937.63,938.88,937.58,938.23,1679
2009.08.18,15:00,938.51,938.25,938.55,937,937.45,1067
2009.08.18,16:00,938.61,937.53,938.73,937.08,938.28,562
2009.08.18,17:00,938.88,938.3,938.73,938.25,938.48,104
2009.08.18,18:00,941.14,938.48,939.08,938.05,938.68,665
2009.08.18,19:00,941.54,938.65,941.15,937.88,941.13,1154
2009.08.18,20:00,940.68,940.98,942.1,940.28,940.98,1391
2009.08.18,21:00,940.75,940.95,941.13,940.1,940.23,1297
2009.08.18,22:00,940.22,940.25,941,940.08,940.5,828
2009.08.18,23:00,939.77,940.53,940.55,939.7,939.88,543
2009.08.19,0:00,938.2,939.85,940.08,938.7,939.45,834
2009.08.19,1:00,937.08,939.4,939.55,936.33,936.85,1295
2009.08.19,2:00,935.87,936.88,937.58,934.33,936.58,2499
2009.08.19,3:00,935.39,936.68,937.18,933.93,934.55,2503
2009.08.19,4:00,935.07,934.53,935.58,931.83,935.2,2636
2009.08.19,5:00,934.08,935.23,935.48,933.58,934.65,1547
2009.08.19,6:00,935.73,934.63,934.85,932.98,933.3,1547
2009.08.19,7:00,935.66,933.33,935.8,933.3,935.65,2541
2009.08.19,8:00,943.84,935.68,936.48,932.63,934.83,3367
2009.08.19,9:00,943.31,934.8,944.95,934.03,942.73,4706
2009.08.19,10:00,944.53,942.75,944.48,939.93,942.13,5020
2009.08.19,11:00,944.16,942.08,944.63,941.03,944.43,3669
2009.08.19,12:00,944.48,944.45,944.73,942.55,943.58,2952
2009.08.19,13:00,943.06,943.63,944.48,941.68,944.48,2208
2009.08.19,14:00,942.77,944.45,944.48,941.25,941.63,1501
2009.08.19,15:00,942.24,941.65,942.8,940.9,942.73,1504
2009.08.19,16:00,942.18,942.75,942.78,941.53,941.7,606
2009.08.19,17:00,943.87,941.75,942.55,941.6,941.8,426
2009.08.19,18:00,945.12,942.05,944.25,941.85,943.48,1737
2009.08.19,19:00,943.43,943.5,945.28,943.38,944.95,982
2009.08.19,20:00,942.74,944.93,945.2,940.73,941.65,1877
2009.08.19,21:00,942.1,941.6,943.13,939.98,942.35,2099
2009.08.19,22:00,942.45,942.33,942.4,941.5,941.8,970
2009.08.19,23:00,942.93,941.78,942.55,941.53,942.35,566
